"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='loadingModal']/div/div/div/div[1]/img","Content","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/main/div[3]/div/div[@id='loadingModal']/div/div/div/div[1]/img","Content","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='loadingModal']/div/div/div/div[1]/img","Content","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
